epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33147,0.82561,2.14535,1.2828,0.6186,0.89208,0.88775,0.61936,1.3969,1.32493,1.25195,0,0,0
2,10.5464,0.94105,1.98366,1.33274,0.56669,0.83333,0.87401,0.63267,1.4149,1.34781,1.26139,1.07219e-06,1.07219e-06,1.07219e-06
3,15.6912,0.92188,2.08835,1.27787,0.59192,0.83333,0.87376,0.6253,1.44853,1.35116,1.26924,1.90876e-06,1.90876e-06,1.90876e-06
4,20.7219,1.06996,2.2672,1.39297,0.58133,0.83333,0.87396,0.60379,1.46243,1.37744,1.27358,2.50971e-06,2.50971e-06,2.50971e-06
5,25.6946,0.99695,2.78884,1.36103,0.57095,0.83333,0.87239,0.59628,1.4858,1.41444,1.2819,2.87504e-06,2.87504e-06,2.87504e-06
6,30.7769,0.93357,1.77008,1.24191,0.59803,0.83333,0.87832,0.60891,1.49928,1.44655,1.28382,3.00475e-06,3.00475e-06,3.00475e-06
7,35.8679,0.86369,2.84496,1.25369,0.6809,0.83333,0.89226,0.62687,1.50614,1.47251,1.28365,2.89884e-06,2.89884e-06,2.89884e-06
8,40.9148,1.0719,2.23149,1.35245,0.67429,0.75,0.89242,0.63061,1.52686,1.5024,1.2956,2.55731e-06,2.55731e-06,2.55731e-06
9,45.8789,0.76008,1.74846,1.19398,0.66985,0.75,0.87864,0.61135,1.52483,1.55501,1.30102,1.98016e-06,1.98016e-06,1.98016e-06
10,50.8877,0.81767,1.8581,1.1606,0.67677,0.75,0.83597,0.60581,1.50655,1.54281,1.29344,1.16739e-06,1.16739e-06,1.16739e-06
